step,time,q1,q1d,q2,q2d,wrap_dist
288,14.400,-3.151065,-0.663811,-0.006693,0.004534,0.663928
289,14.450,-3.181538,-0.560152,-0.006579,0.005143,0.561637
290,14.500,-3.207257,-0.472839,-0.006422,0.005477,0.477451
291,14.550,-3.228971,-0.399321,-0.006236,0.005649,0.408856
292,14.600,-3.247314,-0.337438,-0.006030,0.005721,0.353709
293,14.650,-3.262819,-0.285370,-0.005811,0.005733,0.310159
294,14.700,-3.275939,-0.241583,-0.005582,0.005703,0.276540
295,14.750,-3.287051,-0.204788,-0.005347,0.005645,0.251310
296,14.800,-3.296479,-0.173905,-0.005108,0.005568,0.233002
297,14.850,-3.304494,-0.148029,-0.004868,0.005478,0.220234
298,14.900,-3.311326,-0.126403,-0.004628,0.005379,0.211749
299,14.950,-3.317171,-0.108397,-0.004388,0.005274,0.206458
300,15.000,-3.322197,-0.093484,-0.004151,0.005165,0.203473
301,15.050,-3.326546,-0.081233,-0.003916,0.005054,0.202107
302,15.100,-3.330343,-0.071287,-0.003685,0.004943,0.201857
303,15.150,-3.333694,-0.063357,-0.003457,0.004832,0.202367
304,15.200,-3.336696,-0.057216,-0.003233,0.004723,0.203400
305,15.250,-3.339431,-0.052685,-0.003013,0.004617,0.204808
306,15.300,-3.341978,-0.049635,-0.002798,0.004514,0.206509
307,15.350,-3.344408,-0.047977,-0.002587,0.004416,0.208475
308,15.400,-3.346788,-0.047664,-0.002381,0.004323,0.210716
309,15.450,-3.349186,-0.048687,-0.002179,0.004236,0.213280
310,15.500,-3.351670,-0.051077,-0.001982,0.004155,0.216246
311,15.550,-3.354308,-0.054903,-0.001789,0.004082,0.219732
312,15.600,-3.357175,-0.060276,-0.001601,0.004017,0.223892
313,15.650,-3.360352,-0.067350,-0.001416,0.003960,0.228931
314,15.700,-3.363929,-0.076328,-0.001236,0.003913,0.235109
315,15.750,-3.368007,-0.087467,-0.001060,0.003874,0.242755
316,15.800,-3.372701,-0.101088,-0.000888,0.003849,0.252280
317,15.850,-3.378145,-0.117576,-0.000720,0.003830,0.264190
318,15.900,-3.384494,-0.137402,-0.000556,0.003821,0.279097
319,15.950,-3.391926,-0.161126,-0.000397,0.003817,0.297730
320,16.000,-3.400655,-0.189417,-0.000243,0.003813,0.320946
321,16.050,-3.410925,-0.223069,-0.000096,0.003805,0.349735
322,16.100,-3.423029,-0.263018,0.000044,0.003777,0.385226
323,16.150,-3.437307,-0.310366,0.000173,0.003712,0.428705
324,16.200,-3.454160,-0.366408,0.000287,0.003582,0.481628
325,16.250,-3.474056,-0.432552,0.000375,0.003094,0.545566
326,16.300,-3.497517,-0.509551,0.000353,-0.000316,0.621550
327,16.350,-3.525162,-0.600425,0.000135,-0.004244,0.712498
328,16.400,-3.557737,-0.707473,-0.000312,-0.008857,0.820837
329,16.450,-3.596117,-0.833353,-0.001026,-0.014258,0.949354
330,16.500,-3.641318,-0.981154,-0.002047,-0.020303,1.101274
331,16.550,-3.694523,-1.154487,-0.003392,-0.026330,1.280343
332,16.600,-3.757118,-1.357784,-0.005012,-0.030246,1.491103
333,16.650,-3.830700,-1.595021,-0.006788,-0.031344,1.737812
334,16.700,-3.917045,-1.869407,-0.008599,-0.030441,2.024107
335,16.750,-4.018072,-2.183124,-0.010391,-0.029417,2.352705
336,16.800,-4.135779,-2.537096,-0.012195,-0.030097,2.725127
337,16.850,-4.273391,-2.979106,-0.013116,0.006234,3.186887
338,16.900,-4.434704,-3.483665,-0.013189,0.002805,3.715944
339,16.950,-4.622872,-4.049906,-0.013100,0.009686,4.312330
340,17.000,-4.840290,-4.647428,-0.012438,0.019584,4.948202
341,17.050,-5.087614,-5.236521,-0.011090,0.027072,5.586502
342,17.100,-5.363283,-5.768751,-0.009250,0.025932,6.181841
343,17.150,-5.663271,-6.195843,-0.007305,0.017152,6.689370
344,17.200,-5.981173,-6.473952,-0.005627,0.003552,7.069322
345,17.250,-6.308687,-6.574064,-0.004459,-0.009280,7.275194
346,17.300,-6.636534,-6.487883,-0.003844,-0.017675,7.061675
347,17.350,-6.955614,-6.230527,-0.003684,-0.020197,6.701989
348,17.400,-7.258102,-5.835784,-0.003812,-0.017913,6.225045
349,17.450,-7.538168,-5.346683,-0.004077,-0.012985,5.669788
